survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,embark_town,alive,alone,family_size,age_std,fare_std
1,2,female,21.0,0,0,10.5,S,Second,woman,False,Southampton,yes,True,0,-0.5967162093212155,-0.434807301618015
0,3,male,28.5,0,0,7.2292,C,Third,man,True,Cherbourg,no,True,0,-0.07885881910198016,-0.500658518765974
1,2,female,5.0,1,2,27.75,S,Second,child,False,Southampton,yes,False,3,-1.7014786417889176,-0.08751199288550533
0,3,male,11.0,5,2,46.9,S,Third,child,False,Southampton,no,False,7,-1.2871927296135293,0.29803613246101984
0,3,male,22.0,0,0,7.2292,C,Third,man,True,Cherbourg,no,True,0,-0.5276685572919841,-0.500658518765974
0,1,male,45.0,1,0,83.475,S,First,man,True,Southampton,no,False,1,1.0604274393803377,1.0344028522808193
0,3,male,4.0,3,2,27.9,S,Third,child,False,Southampton,no,False,5,-1.770526293818149,-0.08449203367913571
0,1,male,,0,0,27.7208,C,First,man,True,Cherbourg,no,True,0,,-0.08809987827767862
1,3,male,,1,1,15.2458,C,Third,man,True,Cherbourg,yes,False,2,,-0.33925981894075447
1,2,female,29.0,0,0,10.5,S,Second,woman,False,Southampton,yes,True,0,-0.04433499308736447,-0.434807301618015
0,3,male,19.0,0,0,8.1583,S,Third,man,True,Southampton,no,True,0,-0.7348115133796783,-0.4819528914417204
1,3,female,17.0,4,2,7.925,S,Third,woman,False,Southampton,yes,False,6,-0.872906817438141,-0.48664993466069395
0,3,male,26.0,2,0,8.6625,S,Third,man,True,Southampton,no,False,2,-0.2514779491750586,-0.4718018018960432
0,2,male,32.0,0,0,10.5,S,Second,man,True,Southampton,no,True,0,0.16280796300032965,-0.434807301618015
0,3,female,16.0,5,2,46.9,S,Third,woman,False,Southampton,no,False,7,-0.9419544694673724,0.29803613246101984
0,2,male,21.0,0,0,73.5,S,Second,man,True,Southampton,no,True,0,-0.5967162093212155,0.8335755650572377
0,3,male,26.0,1,0,14.4542,C,Third,man,True,Cherbourg,no,False,1,-0.2514779491750586,-0.3551971503258359
1,3,male,32.0,0,0,56.4958,S,Third,man,True,Southampton,yes,True,0,0.16280796300032965,0.4912289628108992
0,3,male,25.0,0,0,7.65,S,Third,man,True,Southampton,no,True,0,-0.32052560120428997,-0.4921865265390384
0,3,male,,0,0,7.8958,S,Third,man,True,Southampton,no,True,0,,-0.48723782005286725
0,3,male,,0,0,8.05,S,Third,man,True,Southampton,no,True,0,,-0.4841333019887193
1,2,male,0.83,0,2,29.0,S,Second,child,False,Southampton,yes,False,2,-1.9894073507508125,-0.06234566616575826
1,3,female,30.0,0,0,12.475,S,Third,woman,False,Southampton,yes,True,0,0.024712658941866906,-0.3950445054008146
0,3,male,22.0,0,0,9.0,S,Third,man,True,Southampton,no,True,0,-0.5276685572919841,-0.4650068936817115
1,3,male,29.0,0,0,9.5,S,Third,man,True,Southampton,yes,True,0,-0.04433499308736447,-0.4549403629938127
1,3,female,,0,0,7.7875,Q,Third,woman,False,Queenstown,yes,True,0,,-0.4894182305998661
0,1,male,28.0,0,0,47.1,S,First,man,True,Southampton,no,True,0,-0.11338264511659585,0.30206274473617944
1,2,female,17.0,0,0,10.5,S,Second,woman,False,Southampton,yes,True,0,-0.872906817438141,-0.434807301618015
1,3,female,33.0,3,0,15.85,S,Third,woman,False,Southampton,yes,False,3,0.23185561502956104,-0.32709542325749746
0,3,male,16.0,1,3,34.375,S,Third,man,True,Southampton,no,False,4,-0.9419544694673724,0.045869538729154176
0,3,male,,0,0,8.05,S,Third,man,True,Southampton,no,True,0,,-0.4841333019887193
1,1,female,23.0,3,2,263.0,S,First,woman,False,Southampton,yes,False,5,-0.45862090526275273,4.648790695770894
0,3,male,24.0,0,0,8.05,S,Third,man,True,Southampton,no,True,0,-0.3895732532335214,-0.4841333019887193
0,3,male,29.0,0,0,8.05,S,Third,man,True,Southampton,no,True,0,-0.04433499308736447,-0.4841333019887193
0,3,male,20.0,0,0,7.8542,S,Third,man,True,Southampton,no,True,0,-0.6657638613504469,-0.4880753554061005
0,1,male,46.0,1,0,61.175,S,First,man,True,Southampton,no,False,1,1.129475091409569,0.5854355836005315
0,3,male,26.0,1,2,20.575,S,Third,man,True,Southampton,no,False,3,-0.2514779491750586,-0.2319667082568536
0,3,male,59.0,0,0,7.25,S,Third,man,True,Southampton,no,True,0,2.027094567789577,-0.5002397510893574
0,3,male,,0,0,8.05,S,Third,man,True,Southampton,no,True,0,,-0.4841333019887193
0,1,male,71.0,0,0,34.6542,C,First,man,True,Cherbourg,no,True,0,2.855666392140354,0.05149068946527694
1,1,male,23.0,0,1,63.3583,C,First,man,True,Cherbourg,yes,False,1,-0.45862090526275273,0.6293920965023105
1,2,female,34.0,0,1,23.0,S,Second,woman,False,Southampton,yes,False,1,0.30090326705879245,-0.18314403442054422
0,2,male,34.0,1,0,26.0,S,Second,man,True,Southampton,no,False,1,0.30090326705879245,-0.12274485029315124
0,3,female,28.0,0,0,7.8958,S,Third,woman,False,Southampton,no,True,0,-0.11338264511659585,-0.48723782005286725
0,3,male,,0,0,7.8958,S,Third,man,True,Southampton,no,True,0,,-0.48723782005286725
0,1,male,21.0,0,1,77.2875,S,First,man,True,Southampton,no,False,1,-0.5967162093212155,0.9098295350180712
0,3,male,33.0,0,0,8.6542,S,Third,man,True,Southampton,no,True,0,0.23185561502956104,-0.47196890630546234
0,3,male,37.0,2,0,7.925,S,Third,man,True,Southampton,no,False,2,0.5080462231464865,-0.48664993466069395
0,3,male,28.0,0,0,7.8958,S,Third,man,True,Southampton,no,True,0,-0.11338264511659585,-0.48723782005286725
1,3,female,21.0,0,0,7.65,S,Third,woman,False,Southampton,yes,True,0,-0.5967162093212155,-0.4921865265390384
1,3,male,,0,0,7.775,S,Third,man,True,Southampton,yes,True,0,,-0.48966989386706367
0,3,male,38.0,0,0,7.8958,S,Third,man,True,Southampton,no,True,0,0.577093875175718,-0.48723782005286725
1,3,female,,1,0,24.15,Q,Third,woman,False,Queenstown,yes,False,1,,-0.15999101383837694
0,1,male,47.0,0,0,52.0,S,First,man,True,Southampton,no,True,0,1.1985227434388004,0.40071474547758795
0,3,female,14.5,1,0,14.4542,C,Third,child,False,Cherbourg,no,False,1,-1.0455259475112195,-0.3551971503258359
0,3,male,22.0,0,0,8.05,S,Third,man,True,Southampton,no,True,0,-0.5276685572919841,-0.4841333019887193
0,3,female,20.0,1,0,9.825,S,Third,woman,False,Southampton,no,False,1,-0.6657638613504469,-0.4483971180466784
0,3,female,17.0,0,0,14.4583,C,Third,woman,False,Cherbourg,no,True,0,-0.872906817438141,-0.3551146047741951
0,3,male,21.0,0,0,7.925,S,Third,man,True,Southampton,no,True,0,-0.5967162093212155,-0.48664993466069395
0,3,male,70.5,0,0,7.75,Q,Third,man,True,Queenstown,no,True,0,2.821142566125738,-0.49017322040145855
0,2,male,29.0,1,0,21.0,S,Second,man,True,Southampton,no,False,1,-0.04433499308736447,-0.22341015717213955
0,1,male,24.0,0,1,247.5208,C,First,man,True,Cherbourg,no,False,1,-0.3895732532335214,4.337147012122648
0,3,female,2.0,4,2,31.275,S,Third,child,False,Southampton,no,False,6,-1.9086215978766117,-0.016542951535818605
0,2,male,21.0,2,0,73.5,S,Second,man,True,Southampton,no,False,2,-0.5967162093212155,0.8335755650572377
0,3,male,,0,0,8.05,S,Third,man,True,Southampton,no,True,0,,-0.4841333019887193
0,2,male,32.5,1,0,30.0708,C,Second,man,True,Cherbourg,no,False,1,0.19733178901494536,-0.040787184044554156
1,2,female,32.5,0,0,13.0,S,Second,woman,False,Southampton,yes,True,0,0.19733178901494536,-0.38447464817852084
0,1,male,54.0,0,1,77.2875,S,First,man,True,Southampton,no,False,1,1.68185630764342,0.9098295350180712
1,3,male,12.0,1,0,11.2417,C,Third,child,False,Cherbourg,yes,False,1,-1.218145077584298,-0.41987460999558585
0,3,male,,0,0,7.75,Q,Third,man,True,Queenstown,no,True,0,,-0.49017322040145855
1,3,male,24.0,0,0,7.1417,S,Third,man,True,Southampton,yes,True,0,-0.3895732532335214,-0.5024201616363563
1,3,female,,1,1,22.3583,C,Third,woman,False,Cherbourg,yes,False,2,,-0.19606341990539358
0,3,male,45.0,0,0,6.975,S,Third,man,True,Southampton,no,True,0,1.0604274393803377,-0.5057763429677017
0,3,male,33.0,0,0,7.8958,C,Third,man,True,Cherbourg,no,True,0,0.23185561502956104,-0.48723782005286725
0,3,male,20.0,0,0,7.05,S,Third,man,True,Southampton,no,True,0,-0.6657638613504469,-0.5042663633645169
0,3,female,47.0,1,0,14.5,S,Third,woman,False,Southampton,no,False,1,1.1985227434388004,-0.35427505611482435
1,2,female,29.0,1,0,26.0,S,Second,woman,False,Southampton,yes,False,1,-0.04433499308736447,-0.12274485029315124
0,2,male,25.0,0,0,13.0,S,Second,man,True,Southampton,no,True,0,-0.32052560120428997,-0.38447464817852084
0,2,male,23.0,0,0,15.0458,C,Second,man,True,Cherbourg,no,True,0,-0.45862090526275273,-0.343286431215914
1,1,female,19.0,0,2,26.2833,S,First,woman,False,Southampton,yes,False,2,-0.7348115133796783,-0.11704115400538775
0,1,male,37.0,1,0,53.1,S,First,man,True,Southampton,no,False,1,0.5080462231464865,0.4228611129909654
0,3,male,16.0,0,0,9.2167,S,Third,man,True,Southampton,no,True,0,-0.9419544694673724,-0.46064405928157615
0,1,male,24.0,0,0,79.2,C,First,man,True,Cherbourg,no,True,0,-0.3895732532335214,0.9483340148992845
0,3,female,,0,2,15.2458,C,Third,woman,False,Cherbourg,no,False,2,,-0.33925981894075447
1,3,female,22.0,0,0,7.75,S,Third,woman,False,Southampton,yes,True,0,-0.5276685572919841,-0.49017322040145855
1,3,female,24.0,1,0,15.85,S,Third,woman,False,Southampton,yes,False,1,-0.3895732532335214,-0.32709542325749746
0,3,male,19.0,0,0,6.75,Q,Third,man,True,Queenstown,no,True,0,-0.7348115133796783,-0.5103062817772562
0,2,male,18.0,0,0,11.5,S,Second,man,True,Southampton,no,True,0,-0.8038591654089097,-0.41467424024221733
0,2,male,19.0,1,1,36.75,S,Second,man,True,Southampton,no,False,2,-0.7348115133796783,0.09368555949667362
1,3,male,27.0,0,0,7.7958,S,Third,man,True,Southampton,yes,True,0,-0.18243029714582723,-0.489251126190447
0,3,female,9.0,2,2,34.375,S,Third,child,False,Southampton,no,False,4,-1.425288033671992,0.045869538729154176
0,2,male,36.5,0,2,26.0,S,Second,man,True,Southampton,no,False,2,0.4735223971318709,-0.12274485029315124
0,2,male,42.0,0,0,13.0,S,Second,man,True,Southampton,no,True,0,0.8532844832926435,-0.38447464817852084
0,2,male,51.0,0,0,12.525,S,Second,man,True,Southampton,no,True,0,1.4747133515557258,-0.39403785233202476
1,1,female,22.0,1,0,66.6,S,First,woman,False,Southampton,yes,False,1,-0.5276685572919841,0.6946574415642337
0,3,male,55.5,0,0,8.05,S,Third,man,True,Southampton,no,True,0,1.7854277856872671,-0.4841333019887193
0,3,male,40.5,0,2,14.5,S,Third,man,True,Southampton,no,False,2,0.7497130052487964,-0.35427505611482435
0,3,male,,0,0,7.3125,S,Third,man,True,Southampton,no,True,0,,-0.49898143475337003
0,1,male,51.0,0,1,61.3792,C,First,man,True,Cherbourg,no,False,1,1.4747133515557258,0.5895467547334693
1,3,female,16.0,0,0,7.7333,Q,Third,woman,False,Queenstown,yes,True,0,-0.9419544694673724,-0.4905094425264344
0,3,male,30.0,0,0,8.05,S,Third,man,True,Southampton,no,True,0,0.024712658941866906,-0.4841333019887193
0,3,male,,0,0,8.6625,S,Third,man,True,Southampton,no,True,0,,-0.4718018018960432
0,3,male,,8,2,69.55,S,Third,man,True,Southampton,no,False,10,,0.7540499726228369
0,3,male,44.0,0,1,16.1,S,Third,man,True,Southampton,no,False,1,0.9913797873511062,-0.3220621579135481
1,2,female,40.0,0,0,15.75,S,Second,woman,False,Southampton,yes,True,0,0.7151891792341807,-0.3291087293950773
0,3,male,26.0,0,0,7.775,S,Third,man,True,Southampton,no,True,0,-0.2514779491750586,-0.48966989386706367
0,3,male,17.0,0,0,8.6625,S,Third,man,True,Southampton,no,True,0,-0.872906817438141,-0.4718018018960432
0,3,male,1.0,4,1,39.6875,S,Third,child,False,Southampton,no,False,5,-1.977669249905843,0.15282642728807924
1,3,male,9.0,0,2,20.525,S,Third,child,False,Southampton,yes,False,2,-1.425288033671992,-0.23297336132564347
1,1,female,,0,1,55.0,S,First,woman,False,Southampton,yes,False,1,,0.46111392960498093
0,3,female,45.0,1,4,27.9,S,Third,woman,False,Southampton,no,False,5,1.0604274393803377,-0.08449203367913571
0,1,male,,0,0,25.925,S,First,man,True,Southampton,no,True,0,,-0.12425482989633606
0,3,male,28.0,0,0,56.4958,S,Third,man,True,Southampton,no,True,0,-0.11338264511659585,0.4912289628108992
0,1,male,61.0,0,0,33.5,S,First,man,True,Southampton,no,True,0,2.16518987184804,0.02825311002533122
0,3,male,4.0,4,1,29.125,Q,Third,child,False,Queenstown,no,False,5,-1.770526293818149,-0.05982903349378355
1,3,female,1.0,1,1,11.1333,S,Third,child,False,Southampton,yes,False,2,-1.977669249905843,-0.4220570338487224
0,3,male,21.0,0,0,7.925,S,Third,man,True,Southampton,no,True,0,-0.5967162093212155,-0.48664993466069395
0,1,male,56.0,0,0,30.6958,C,First,man,True,Cherbourg,no,True,0,1.8199516117018828,-0.028204020684680614
0,3,male,18.0,1,1,7.8542,S,Third,man,True,Southampton,no,False,2,-0.8038591654089097,-0.4880753554061005
0,3,male,,3,1,25.4667,S,Third,man,True,Southampton,no,False,4,,-0.13348181192486414
0,1,female,50.0,0,0,28.7125,C,First,woman,False,Cherbourg,no,True,0,1.4056656995264944,-0.06813392131130011
0,2,male,30.0,0,0,13.0,S,Second,man,True,Southampton,no,True,0,0.024712658941866906,-0.38447464817852084
0,3,male,36.0,0,0,0.0,S,Third,man,True,Southampton,no,True,0,0.43899857111725515,-0.6462044460638905
0,3,female,,8,2,69.55,S,Third,woman,False,Southampton,no,False,10,,0.7540499726228369
0,2,male,,0,0,15.05,C,Second,man,True,Cherbourg,no,True,0,,-0.34320187235813565
0,3,male,9.0,4,2,31.3875,S,Third,child,False,Southampton,no,False,6,-1.425288033671992,-0.014277982131041355
1,2,male,1.0,2,1,39.0,S,Second,child,False,Southampton,yes,False,3,-1.977669249905843,0.13898494759221836
1,3,female,4.0,0,2,22.025,S,Third,child,False,Southampton,yes,False,2,-1.770526293818149,-0.20277376926194698
0,1,male,,0,0,50.0,S,First,man,True,Southampton,no,True,0,,0.36044862272599265
1,3,female,,1,0,15.5,Q,Third,woman,False,Queenstown,yes,False,1,,-0.33414199473902667
1,1,male,45.0,0,0,26.55,S,First,man,True,Southampton,yes,True,0,1.0604274393803377,-0.11167166653646252
0,3,male,40.0,1,1,15.5,Q,Third,man,True,Queenstown,no,False,2,0.7151891792341807,-0.33414199473902667
0,3,male,36.0,0,0,7.8958,S,Third,man,True,Southampton,no,True,0,0.43899857111725515,-0.48723782005286725
1,2,female,32.0,0,0,13.0,S,Second,woman,False,Southampton,yes,True,0,0.16280796300032965,-0.38447464817852084
0,2,male,19.0,0,0,13.0,S,Second,man,True,Southampton,no,True,0,-0.7348115133796783,-0.38447464817852084
1,3,female,19.0,1,0,7.8542,S,Third,woman,False,Southampton,yes,False,1,-0.7348115133796783,-0.4880753554061005
1,2,male,3.0,1,1,26.0,S,Second,child,False,Southampton,yes,False,2,-1.8395739458473803,-0.12274485029315124
1,1,female,44.0,0,0,27.7208,C,First,woman,False,Cherbourg,yes,True,0,0.9913797873511062,-0.08809987827767862
1,1,female,58.0,0,0,146.5208,C,First,woman,False,Cherbourg,yes,True,0,1.9580469157603455,2.3037078131670836
0,3,male,,0,0,7.75,Q,Third,man,True,Queenstown,no,True,0,,-0.49017322040145855
0,3,male,42.0,0,1,8.4042,S,Third,man,True,Southampton,no,False,1,0.8532844832926435,-0.4770021716494118
1,3,female,,0,0,7.75,Q,Third,woman,False,Queenstown,yes,True,0,,-0.49017322040145855
0,2,female,24.0,0,0,13.0,S,Second,woman,False,Southampton,no,True,0,-0.3895732532335214,-0.38447464817852084
0,3,male,28.0,0,0,9.5,S,Third,man,True,Southampton,no,True,0,-0.11338264511659585,-0.4549403629938127
0,3,male,,8,2,69.55,S,Third,man,True,Southampton,no,False,10,,0.7540499726228369
0,3,male,34.0,0,0,6.4958,S,Third,man,True,Southampton,no,True,0,0.30090326705879245,-0.515424105978984
0,3,male,45.5,0,0,7.225,C,Third,man,True,Cherbourg,no,True,0,1.0949512653949534,-0.5007430776237524
1,3,male,18.0,0,0,8.05,S,Third,man,True,Southampton,yes,True,0,-0.8038591654089097,-0.4841333019887193
0,3,female,2.0,0,1,10.4625,S,Third,child,False,Southampton,no,False,1,-1.9086215978766117,-0.43556229141960745
0,3,male,32.0,1,0,15.85,S,Third,man,True,Southampton,no,False,1,0.16280796300032965,-0.32709542325749746
1,3,male,26.0,0,0,18.7875,C,Third,man,True,Cherbourg,yes,True,0,-0.2514779491750586,-0.26795455546609187
1,3,female,16.0,0,0,7.75,Q,Third,woman,False,Queenstown,yes,True,0,-0.9419544694673724,-0.49017322040145855
1,1,male,40.0,0,0,31.0,C,First,man,True,Cherbourg,yes,True,0,0.7151891792341807,-0.022079543414162937
0,3,male,24.0,0,0,7.05,S,Third,man,True,Southampton,no,True,0,-0.3895732532335214,-0.5042663633645169
1,2,female,35.0,0,0,21.0,S,Second,woman,False,Southampton,yes,True,0,0.3699509190880238,-0.22341015717213955
0,3,male,22.0,0,0,7.25,S,Third,man,True,Southampton,no,True,0,-0.5276685572919841,-0.5002397510893574
0,2,male,30.0,0,0,13.0,S,Second,man,True,Southampton,no,True,0,0.024712658941866906,-0.38447464817852084
0,3,male,,1,0,7.75,Q,Third,man,True,Queenstown,no,False,1,,-0.49017322040145855
1,1,female,31.0,1,0,113.275,C,First,woman,False,Cherbourg,yes,False,1,0.09376031097109828,1.6343680812795898
1,3,female,27.0,0,0,7.925,S,Third,woman,False,Southampton,yes,True,0,-0.18243029714582723,-0.48664993466069395
0,2,male,42.0,1,0,27.0,S,Second,man,True,Southampton,no,False,1,0.8532844832926435,-0.10261178891735358
1,1,female,32.0,0,0,76.2917,C,First,woman,False,Cherbourg,yes,True,0,0.16280796300032965,0.8897810325000521
0,2,male,30.0,0,0,10.5,S,Second,man,True,Southampton,no,True,0,0.024712658941866906,-0.434807301618015
1,3,male,16.0,0,0,8.05,S,Third,man,True,Southampton,yes,True,0,-0.9419544694673724,-0.4841333019887193
0,2,male,27.0,0,0,13.0,S,Second,man,True,Southampton,no,True,0,-0.18243029714582723,-0.38447464817852084
0,3,male,51.0,0,0,8.05,S,Third,man,True,Southampton,no,True,0,1.4747133515557258,-0.4841333019887193
0,3,male,,0,0,7.8958,S,Third,man,True,Southampton,no,True,0,,-0.48723782005286725
1,1,male,38.0,1,0,90.0,S,First,man,True,Southampton,yes,False,1,0.577093875175718,1.1657710777578991
0,3,male,22.0,0,0,9.35,S,Third,man,True,Southampton,no,True,0,-0.5276685572919841,-0.4579603222001823
1,2,male,19.0,0,0,10.5,S,Second,man,True,Southampton,yes,True,0,-0.7348115133796783,-0.434807301618015
0,3,male,20.5,0,0,7.25,S,Third,man,True,Southampton,no,True,0,-0.6312400353358312,-0.5002397510893574
0,2,male,18.0,0,0,13.0,S,Second,man,True,Southampton,no,True,0,-0.8038591654089097,-0.38447464817852084
0,3,female,,3,1,25.4667,S,Third,woman,False,Southampton,no,False,4,,-0.13348181192486414
1,1,female,35.0,1,0,83.475,S,First,woman,False,Southampton,yes,False,1,0.3699509190880238,1.0344028522808193
0,3,male,29.0,0,0,7.775,S,Third,man,True,Southampton,no,True,0,-0.04433499308736447,-0.48966989386706367
0,2,male,59.0,0,0,13.5,S,Second,man,True,Southampton,no,True,0,2.027094567789577,-0.374408117490622
1,3,female,5.0,4,2,31.3875,S,Third,child,False,Southampton,yes,False,6,-1.7014786417889176,-0.014277982131041355
0,2,male,24.0,0,0,10.5,S,Second,man,True,Southampton,no,True,0,-0.3895732532335214,-0.434807301618015
0,3,female,,0,0,7.55,S,Third,woman,False,Southampton,no,True,0,,-0.4941998326766181
0,2,male,44.0,1,0,26.0,S,Second,man,True,Southampton,no,False,1,0.9913797873511062,-0.12274485029315124
1,2,female,8.0,0,2,26.25,S,Second,child,False,Southampton,yes,False,2,-1.4943356857012233,-0.11771158494920184
0,2,male,19.0,0,0,10.5,S,Second,man,True,Southampton,no,True,0,-0.7348115133796783,-0.434807301618015
0,2,male,33.0,0,0,12.275,S,Second,man,True,Southampton,no,True,0,0.23185561502956104,-0.3990711176759742
0,3,female,,1,0,14.4542,C,Third,woman,False,Cherbourg,no,False,1,,-0.3551971503258359
1,3,female,,1,0,15.5,Q,Third,woman,False,Queenstown,yes,False,1,,-0.33414199473902667
0,2,male,29.0,0,0,10.5,S,Second,man,True,Southampton,no,True,0,-0.04433499308736447,-0.434807301618015
0,3,male,22.0,0,0,7.125,S,Third,man,True,Southampton,no,True,0,-0.5276685572919841,-0.5027563837613321
0,3,male,30.0,0,0,7.225,C,Third,man,True,Cherbourg,no,True,0,0.024712658941866906,-0.5007430776237524
0,1,male,44.0,2,0,90.0,Q,First,man,True,Queenstown,no,False,2,0.9913797873511062,1.1657710777578991
0,3,female,25.0,0,0,7.775,S,Third,woman,False,Southampton,no,True,0,-0.32052560120428997,-0.48966989386706367
